1,73, High school graduate, Widowed, Female, Nonfiler,20401.08,2596.41 Not in universe, United-States, Native- Born in the United States,0
2,58, Some college but no degree, Divorced, Male, Head of household,12642.60,1264.26 Not in universe, United-States, Native- Born in the United States,52
3,18, 10th grade, Never married, Female, Nonfiler,11903.40,1321.76 Not in universe, Vietnam, Foreign born- Not a citizen of U S ,0
4,48, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,1951.32,195.13 Not in universe, United-States, Native- Born in the United States,52
5,42, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,18430.32,1843.03 Not in universe, United-States, Native- Born in the United States,52
6,28, High school graduate, Never married, Female, Single,10785.96,1154.14 Not in universe, United-States, Native- Born in the United States,30
7,47, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,19938.36,2063.25 Not in universe, United-States, Native- Born in the United States,52
8,34, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,13761.48,1376.15 Not in universe, United-States, Native- Born in the United States,52
9,32, High school graduate, Never married, Female, Nonfiler,24255.24,3174.54 Not in universe, ?, Foreign born- Not a citizen of U S ,0
10,51, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,29294.64,3466.70 Not in universe, United-States, Native- Born in the United States,52
11,46, High school graduate, Divorced, Female, Single,11737.92,1296.94 Not in universe, Columbia, Foreign born- Not a citizen of U S ,52
12,26, Bachelors degree(BA AB BS), Never married, Female, Single,31258.92,4225.09 Not in universe, United-States, Native- Born in the United States,52
13,47, Bachelors degree(BA AB BS), Never married, Female, Single,4858.80,485.88 Not in universe, United-States, Native- Born in the United States,52
14,39, 10th grade, Married-civilian spouse present, Female, Joint both under 65,15288.48,1528.85 Not in universe, Mexico, Foreign born- Not a citizen of U S ,0
15,16, 10th grade, Never married, Female, Nonfiler,18663.48,2335.77 Both parents present, United-States, Native- Born in the United States,0
16,35, High school graduate, Married-civilian spouse present, Male, Joint both under 65,21489.00,2295.85 Not in universe, United-States, Native- Born in the United States,49
17,27, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,12056.28,1205.63 Not in universe, United-States, Native- Born in the United States,52
18,56, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,18000.96,1800.10 Not in universe, United-States, Native- Born in the United States,32
19,46, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, Male, Joint both under 65,11993.52,1199.35 Not in universe, United-States, Native- Born in the United States,52
20,55, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,17804.28,1780.43 Not in universe, United-States, Native- Born in the United States,0
21,37, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,32063.88,3882.08 Not in universe, United-States, Native- Born in the United States,52
22,37, Bachelors degree(BA AB BS), Never married, Male, Single,15976.20,1932.68 Not in universe, United-States, Native- Born in the United States,52
23,63, Less than 1st grade, Married-civilian spouse present, Male, Joint both under 65,8533.80,853.38 Not in universe, Mexico, Foreign born- Not a citizen of U S ,15
24,34, Some college but no degree, Married-civilian spouse present, Female, Joint both under 65,18943.80,1914.07 Not in universe, United-States, Native- Born in the United States,52
25,46, Some college but no degree, Married-civilian spouse present, Male, Joint both under 65,19548.24,2004.74 Not in universe, United-States, Native- Born in the United States,52
26,25, High school graduate, Never married, Female, Single,23976.36,3132.70 Not in universe, United-States, Native- Born in the United States,52
27,81, Bachelors degree(BA AB BS), Widowed, Female, Single,5562.60,556.26 Not in universe, United-States, Native- Born in the United States,0
28,46, High school graduate, Separated, Female, Single,29912.88,4023.18 Not in universe, Peru, Foreign born- Not a citizen of U S ,52
29,39, Bachelors degree(BA AB BS), Married-civilian spouse present, Male, Joint both under 65,11761.20,1176.12 Not in universe, United-States, Native- Born in the United States,52
30,42, Associates degree-academic program, Married-civilian spouse present, Male, Joint both under 65,18472.80,1847.28 Not in universe, United-States, Native- Born in the United States,52
31,30, High school graduate, Never married, Female, Nonfiler,21276.96,2727.79 Not in universe, United-States, Native- Born in the United States,0
32,66, 7th and 8th grade, Married-civilian spouse present, Female, Joint both 65+,50199.12,6602.37 Not in universe, United-States, Native- Born in the United States,38
33,26, High school graduate, Married-civilian spouse present, Female, Joint both under 65,12481.80,1248.18 Not in universe, Mexico, Foreign born- Not a citizen of U S ,0
